authors;affiliation;location;NEP.AFR;NEP.ENV;NEP.DEV;sum_publi;country;city
Yann Bramoulle; Groupement de Recherche en Économie Quantitative d'Aix-Marseille (GREQAM)École d'Économie d'Aix-MarseilleAix-Marseille Université; Marseille, France;NA;1;1;150;France;Marseille
Marie Bessec; Chaire de Géopolitique de l'Énergie et des Matières premières (CGEMP)Laboratoire d'Économie de Dauphine (LEDa)Université Paris-Dauphine (Paris IX); Paris, France;NA;NA;NA;13;France;Paris
Francisco Javier Brana; Departamento de Economía AplicadaFacultad de DerechoUniversidad de Salamanca; Salamanca, Spain;NA;NA;NA;3;Spain;Salamanca
Sophie Brana; Laboratoire d'Analyse et de Recherche Économiques et Finance Internationales (LAREFI)Université de Bordeaux; Bordeaux, France;NA;NA;NA;15;France;Bordeaux
Veronique Bessiere; Montpellier Research in Management (MRM)Université de Montpellier; Montpellier, France;NA;NA;NA;0;France;Montpellier
Pablo Branas-Garza; Departamento de EconomíaUniversidad Loyola Andalucía; Sevilla, Spain;NA;NA;NA;339;Spain;Sevilla
Franck Bessis; Action, discours, pensée politique et économique (TRIANGLE)École Normale Supérieure (ENS Lyon); Lyon, France;NA;NA;NA;0;France;Lyon
James Banks;Institute for Fiscal Studies (IFS); London, United Kingdom;NA;NA;1;106;United Kingdom;London
Marina Bannikova; Departament d'EconomiaFacultat de Ciències Econòmiques i EmpresarialsUniversitat Rovira I Virgili Tarragona; Reus, Spain;NA;NA;NA;10;Spain;Reus
Michael H Best;(90%) Babbage Industrial Policy Network, Institute for Manufacturing, Department of Engineering, University of Cambridge; Cambridge, United Kingdom;NA;NA;NA;2;United Kingdom;Cambridge
Jose F Banos;(60%) Departamento de EconomíaFacultad de Economía y EmpresaUniversidad de Oviedo; Oviedo, Spain;NA;NA;NA;0;Spain;Oviedo
Thomas Brand; Centre pour la Recherche Économique et ses Applications (CEPREMAP); Paris, France;NA;NA;NA;25;France;Paris
Carlos Bethencourt; Facultad de Economía, Empresa y TurismoUniversidad de La Laguna; La Laguna, Spain;NA;NA;1;25;Spain;La Laguna
Chiara Banti; Essex Finance CenterEssex Business SchoolUniversity of Essex; Colchester, United Kingdom;NA;NA;NA;10;United Kingdom;Colchester
Bruno Brandao Fischer; Instituto Complutense de Estudios Internacionales (ICEI)Facultad de Ciencias Económicas y EmpresarialesUniversidad Complutense de Madrid; Madrid, Spain;NA;NA;NA;4;Spain;Madrid
Denisa Banulescu-Radu; Laboratoire d'Économie d'Orléans (LEO)Faculté de droit, d'économie et de gestionUniversité d'Orléans; Orléans, France;NA;NA;NA;5;France;Orléans
Sheheryar Banuri;(50%) Centre for Behavioural and Experimental Social Science (CBESS)University of East Anglia; Norwich, United Kingdom;NA;NA;1;24;United Kingdom;Norwich
Lina Isabel Brand Correa;(99%) Sustainability Research InstituteUniversity of Leeds; Leeds, United Kingdom;NA;NA;NA;0;United Kingdom;Leeds
Thierry Betti; Bureau d'Économie Théorique et Appliquée (BETA); Nancy/Strasbourg, France;NA;NA;NA;26;France;Nancy
Kun Bao; Business SchoolUniversity of Nottingham; Nottingham, United Kingdom;NA;NA;NA;0;United Kingdom;Nottingham
Olivier Brandouy; Bordeaux Sciences Économiques (BSE)Université de Bordeaux; Bordeaux, France;NA;NA;NA;3;France;Bordeaux
Nicola Brandt; Economics DepartmentOrganisation de Coopération et de Développement Économiques (OCDE); Paris, France;NA;6;2;64;France;Paris
Tony Baptiste; Centre d'Économie de l'Université Paris-Nord (CEPN)Université Paris-13; Paris, France;NA;NA;NA;0;France;Paris
Julie Beugnot; Centre de Recherche sur les Stratégies Économiques (CRESE)UFR des Sciences Juridiques, Économiques, Politiques et de GestionUniversité de Franche-Comté; Besançon, France;NA;NA;NA;73;France;Besançon
Christof Beuselinck;(50%) IESEG School of ManagementUniversité Catholique de Lille; Lille, France;NA;NA;NA;11;France;Lille
Jordi Brandts; Institut d'Anàlisi Econòmica CSIC (IAE-CSIC)Barcelona School of Economics (BSE); Barcelona, Spain;NA;NA;NA;208;Spain;Barcelona
Frederic Branger; Centre International de Recherche sur l'Environnement et le Développement (CIRED); Paris, France;NA;10;NA;42;France;Paris
Jean Beuve; Centre d'Économie de la SorbonneUniversité Paris 1 (Panthéon-Sorbonne); Paris, France;NA;NA;NA;4;France;Paris
David J Bevan;"School of Management
Royal Holloway"; Egham, United Kingdom;NA;NA;NA;2;United Kingdom;Egham
David L Bevan; Department of EconomicsOxford University; Oxford, United Kingdom;1;NA;1;7;United Kingdom;Oxford
Carmen Bevia; Departamento de Fundamentos del Análisis EconómicoFacultad de Ciencias Económicas y EmpresarialesUniversidad de Alicante; Alicante, Spain;NA;NA;NA;18;Spain;Alicante
Yann Braouezec;(50%) IESEG School of ManagementUniversité Catholique de Lille; Lille, France;NA;NA;NA;3;France;Lille
Ilaski Baranano;(50%) Departamento de Análisis EconómicoFacultad de Economía y EmpresaUniversidad del País Vasco - Euskal Herriko Unibertsitatea; Bilbao, Spain;NA;NA;NA;0;Spain;Bilbao
Oluwasegun Bewaji;(50%) Centre For Computational Finance and Economic Agents (CCFEA)University of Essex; Colchester, United Kingdom;NA;NA;NA;0;United Kingdom;Colchester
Arielle Beyaert;"Facultad de Economía y Empresa (Faculty of Economics and Business)
Universidad de Murcia (University of Murcia)"; Murcia, Spain;NA;NA;NA;0;Spain;Murcia
Edmond Baranes;(50%) Montpellier Recherche en Économie (MRE)Université de Montpellier; Montpellier, France;NA;2;NA;14;France;Montpellier
Iwan Barankay;Centre for Economic Policy Research (CEPR); London, United Kingdom;NA;NA;NA;42;United Kingdom;London
Simon Brassel; Office of Health Economics; London, United Kingdom;NA;NA;NA;5;United Kingdom;London
Zsofia Luca Barany; Department of EconomicsSciences économiquesSciences Po; Paris, France;NA;NA;NA;51;France;Paris
Marco R Barassi; Department of EconomicsUniversity of Birmingham; Birmingham, United Kingdom;NA;1;NA;4;United Kingdom;Birmingham
George John Bratsiotis;(50%) School of EconomicsUniversity of Manchester; Manchester, United Kingdom;NA;NA;NA;62;United Kingdom;Manchester
Emeline Bezin; Paris School of Economics; Paris, France;NA;1;NA;14;France;Paris
Luca Barbaglia; Joint Research CentreEuropean Commission; Sevilla, Spain;NA;NA;NA;10;Spain;Sevilla
Christine Braun; Department of EconomicsUniversity of Warwick; Coventry, United Kingdom;NA;NA;NA;4;United Kingdom;Coventry
Nicolas Barbaroux; Groupe d'Analyse et de Théorie Économique Lyon St-Étienne (GATE Lyon St-Étienne)Université de Lyon; Lyon, France;NA;NA;NA;10;France;Lyon
Virginia Barba-Sanchez; Departamento de Administración de EmpresasFacultad de Ciencias Económicas y EmpresarialesUniversidad de Castilla La Mancha; Albacete, Spain;NA;NA;NA;0;Spain;Albacete
Susana Barbeito Roibal; Departamento de EmpresaFacultade de Economía e EmpresaUniversidade da Coruña; A Coruña, Spain;NA;NA;NA;0;Spain;A Coruña
Rohit Bhakar; Department of Electronic and Electrical Engineering, University of Bath; Bath, United Kingdom;NA;NA;NA;0;United Kingdom;Bath
Salvador Barbera; Unitat de Fonaments de l'Anàlisi EconòmicaDepartament d'Economia i Història EconòmicaUniversitat Autònoma de BarcelonaBarcelona School of Economics (BSE); Barcelona, Spain;NA;NA;NA;76;Spain;Barcelona
Robin Braun; Bank of England; London, United Kingdom;NA;NA;NA;13;United Kingdom;London
Javier Barbero;(98%) Joint Research CentreEuropean Commission; Sevilla, Spain;NA;NA;NA;66;Spain;Sevilla
Philippe Barbet; Centre d'Économie de l'Université Paris-Nord (CEPN)Université Paris-13; Paris, France;NA;NA;NA;0;France;Paris
Sonia Radhika Bhalotra;(95%) Department of EconomicsUniversity of Warwick; Coventry, United Kingdom;6;2;55;325;United Kingdom;Coventry
Jennifer L N Brauner; Department of Economics, Mathematics and StatisticsBirkbeck College; London, United Kingdom;NA;NA;NA;5;United Kingdom;London
Harjoat Singh Bhamra; Business SchoolImperial College; London, United Kingdom;NA;NA;NA;23;United Kingdom;London
Karen Anna Clara Braun-Munzinger; Bank of England; London, United Kingdom;NA;NA;NA;4;United Kingdom;London
Carine Barbier; Centre International de Recherche sur l'Environnement et le Développement (CIRED); Paris, France;NA;NA;NA;0;France;Paris
Amelie Barbier-Gauchard; Bureau d'Économie Théorique et Appliquée (BETA); Nancy/Strasbourg, France;NA;NA;NA;22;France;Nancy
Magali Barbieri; Institut National d'Études Démographiques (INED); Paris, France;NA;NA;NA;0;France;Paris
Francesco Bravo; Department of Economics and Related StudiesUniversity of York; York, United Kingdom;NA;NA;NA;9;United Kingdom;York
Albert Bravo-Biosca;(90%) Barcelona School of Economics (BSE); Barcelona, Spain;NA;NA;NA;7;Spain;Barcelona
John Brazier; Health Economics and Decision Science (HEDS)School of Health and Related Research (ScHARR)University of Sheffield; Sheffield, United Kingdom;NA;NA;NA;0;United Kingdom;Sheffield
Adriana Breaban;(50%) Laboratori d'Economia Experimental (LEE)Universitat Jaume I; Castellón de la Plana, Spain;NA;NA;NA;12;Spain;Castellón de la Plana
Klenio de Souza Barbosa; SKEMA Business School; Lille, France;NA;NA;NA;21;France;Lille
Jai Bhatia; Saïd Business SchoolOxford University; Oxford, United Kingdom;NA;NA;NA;0;United Kingdom;Oxford
Dorothee Brecard; Laboratoire d'Économie Appliquée au Développement (LEAD)Faculté de Sciences Économiques et de GestionUniversité de Toulon et du Var; La Garde, France;NA;10;NA;23;France;La Garde
Jean-Pierre Brechet; Laboratoire d'Économie et de Management de Nantes-Atlantique (LEMNA)Institut d'Économie et de Management de Nantes (IAE)Université de Nantes; Nantes, France;NA;NA;NA;4;France;Nantes
Thomas Breda;(98%) Paris School of Economics; Paris, France;NA;NA;NA;98;France;Paris
Arnab Bhattacharjee; Department of Accountancy, Economics and FinanceHeriot-Watt University; Edinburgh, United Kingdom;NA;NA;NA;87;United Kingdom;Edinburgh
Cristina Barcelo; Banco de España; Madrid, Spain;NA;NA;NA;7;Spain;Madrid
Elena Barcena; Departamento de Estadística y EconometríaFacultad de Ciencias Económicas y EmpresarialesUniversidad de Málaga; Málaga, Spain;NA;1;NA;37;Spain;Málaga
Francis Breedon; School of Economics and FinanceQueen Mary University of London; London, United Kingdom;NA;NA;NA;37;United Kingdom;London
Juan Carlos Barcena-Ruiz;(90%) Departamento de Análisis EconómicoFacultad de Economía y EmpresaUniversidad del País Vasco - Euskal Herriko Unibertsitatea; Bilbao, Spain;NA;NA;NA;5;Spain;Bilbao
Anindya Bhattacharya; Department of Economics and Related StudiesUniversity of York; York, United Kingdom;NA;NA;NA;5;United Kingdom;York
Debopam Bhattacharya; Faculty of EconomicsUniversity of Cambridge; Cambridge, United Kingdom;1;NA;NA;32;United Kingdom;Cambridge
Sylvain Dr Barde;(50%) Centre de recherche en Économie (OFCE)Sciences économiquesSciences Po; Paris, France;NA;NA;NA;45;France;Paris
Michael Brei; Lille Économie et Management (LEM); Lille, France;2;NA;NA;56;France;Lille
Marco Bardoscia; Bank of England; London, United Kingdom;NA;NA;NA;25;United Kingdom;London
Holger Breinlich;(80%) School of EconomicsUniversity of Surrey; Guildford, United Kingdom;NA;1;NA;104;United Kingdom;Guildford
Nicholas Bardsley; Department of Food Economics and MarketingSchool of Agriculture, Policy and DevelopmentUniversity of Reading; Reading, United Kingdom;NA;2;NA;9;United Kingdom;Reading
Francois Bareille; Économie PubliqueDépartement ECOSOCIO - Économie et Sciences Sociales pour l'Agriculture, l'Alimentation et l'Environnement (SAE2)Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement (INRAE); Paris-Grignon, France;NA;11;1;40;France;Paris-Grignon
Pierre Emmanuel Baret;Groupe Sup de Co La Rochelle (La Rochelle Business School); La Rochelle, France;NA;NA;NA;0;France;La Rochelle
Olivier Bargain; Laboratoire d'Analyse et de Recherche Économiques et Finance Internationales (LAREFI)Université de Bordeaux; Bordeaux, France;9;NA;14;379;France;Bordeaux
Courtney Gordon Brell;(50%) Department of EconomicsUniversity College London (UCL); London, United Kingdom;NA;NA;NA;5;United Kingdom;London
Andres Barge-Gil; Instituto Complutense de Analisis Economico (ICAE)Facultad de Ciencias Económicas y EmpresarialesUniversidad Complutense de Madrid; Madrid, Spain;NA;NA;NA;72;Spain;Madrid
Greg Bremner; Dundee Business SchoolUniversity of Abertay Dundee; Dundee, United Kingdom;NA;NA;NA;0;United Kingdom;Dundee
Sambit Bhattacharyya; Department of EconomicsSussex Business SchoolUniversity of Sussex; Brighton, United Kingdom;3;5;14;107;United Kingdom;Brighton
Keshab R Bhattarai; University of Hull Business School (University of Hull Business School); East Yorkshire, England, United Kingdom;NA;1;NA;23;United Kingdom;East Yorkshire
Sumon K Bhaumik;(98%) Management SchoolUniversity of Sheffield; Sheffield, United Kingdom;4;2;22;176;United Kingdom;Sheffield
Alnoor Bhimani; London School of Economics (LSE); London, United Kingdom;NA;NA;NA;5;United Kingdom;London
David Bholat; Bank of England; London, United Kingdom;NA;NA;NA;41;United Kingdom;London
Ahmed Barkaoui; Laboratoire d'Économie Forestière; Nancy, France;NA;4;NA;16;France;Nancy
Terry Barker;(80%) Department of Land EconomyUniversity of Cambridge; Cambridge, United Kingdom;NA;2;NA;5;United Kingdom;Cambridge
Augendra Bhukuth; Institut Technique Supérieur du Management International (ITSMI); Paris, France;1;1;1;5;France;Paris
Florent Bresson; Centre d'Études et de Recherches sur le Développement International (CERDI)École d'ÉconomieUniversité Clermont Auvergne; Clermont-Ferrand, France;NA;NA;NA;14;France;Clermont-Ferrand
Georges Bresson;(50%) TEPP Fédération de Recherche Théorie et Évaluation des Poliques Publiques; Noisy le Grand, France;NA;NA;NA;46;France;Noisy le Grand
Tim Barmby; Business SchoolUniversity of Aberdeen; Aberdeen, United Kingdom;NA;NA;NA;4;United Kingdom;Aberdeen
Regis Breton;(99%) Banque de France; Paris, France;NA;NA;NA;37;France;Paris
Bruno R Biais; Départment de Finance et ÉconomieHEC Paris (École des Hautes Études Commerciales); Jouy-en-Josas, France;NA;NA;1;120;France;Jouy-en-Josas
Geoff Barnard;Organisation de Coopération et de Développement Économiques (OCDE) (Organisation for Economic Co-operation and Development (OECD)); Paris, France;3;NA;1;20;France;Paris
Thomas Barnay;(90%) Équipe de Recherche sur l'Utilisation des Données Individuelles en lien avec la Théorie Économique (ERUDITE)Université Paris-Est; Créteil, France;NA;NA;NA;54;France;Créteil
Andrew P Barnes; Land Economy and Environment GroupScotland's Rural College; Edinburgh, United Kingdom;NA;2;NA;13;United Kingdom;Edinburgh
Matthew Barnes; HM TreasuryGovernment of the United Kingdom; London, United Kingdom;NA;NA;NA;3;United Kingdom;London
Marie-Laure Breuille; Centre d'Économie et Sociologie appliquées à l'Agriculture et aux Espaces Ruraux (CESAER)Département ECOSOCIO - Économie et Sciences Sociales pour l'Agriculture, l'Alimentation et l'Environnement (SAE2)Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement (INRAE); Dijon, France;NA;NA;NA;21;France;Dijon
Sebastian Barnes; Economics DepartmentOrganisation de Coopération et de Développement Économiques (OCDE); Paris, France;NA;NA;NA;8;France;Paris
Alina Barnett; Bank of England; London, United Kingdom;NA;NA;NA;18;United Kingdom;London
Daniele Bianchi; School of Economics and FinanceQueen Mary University of London; London, United Kingdom;NA;NA;NA;17;United Kingdom;London
Milo Bianchi; Toulouse School of Economics (TSE); Toulouse, France;NA;NA;2;53;France;Toulouse
Mike Brewer;(90%) Resolution Foundation; London, United Kingdom;NA;NA;NA;72;United Kingdom;London
Christine Barnet-Verzat; Institut d'Économie et de Management de Nantes (IAE)Université de Nantes; Nantes, France;NA;NA;NA;0;France;Nantes
Chris Brewster; Henley Business SchoolUniversity of Reading; Reading, United Kingdom;NA;NA;NA;5;United Kingdom;Reading
Stefano Bianchini; Bureau d'Économie Théorique et Appliquée (BETA); Nancy/Strasbourg, France;NA;NA;NA;46;France;Nancy
Brice Barois; Laboratoire d'Économie Appliquée au Développement (LEAD)Faculté de Sciences Économiques et de GestionUniversité de Toulon et du Var; La Garde, France;NA;NA;NA;0;France;La Garde
Sara Biancini; Théorie Économique, Modélisation, Application (THEMA)Université de Cergy-Pontoise; Cergy-Pontoise, France;NA;NA;1;55;France;Cergy-Pontoise
Herve Baron; Centre d'Économie de la SorbonneUniversité Paris 1 (Panthéon-Sorbonne); Paris, France;NA;NA;NA;21;France;Paris
Dominique Bianco; Laboratoire d'Économie de Dijon (LEDI)Université de Bourgogne; Dijon, France;NA;8;NA;45;France;Dijon
Richard Baron; Groupe d'Analyse et de Théorie Économique Lyon St-Étienne (GATE Lyon St-Étienne)Université de Lyon; Lyon, France;NA;NA;NA;11;France;Lyon
Damien Bricard; Institut de Recherche et Documentation en Économie de la Santé (IRDES); Paris, France;NA;NA;NA;3;France;Paris
Ruben Jonathan Bibas; Centre International de Recherche sur l'Environnement et le Développement (CIRED); Paris, France;NA;5;NA;11;France;Paris
John Bibby; Centre for Health EconomicsDepartment of Economics and Related StudiesUniversity of York; York, United Kingdom;NA;NA;NA;0;United Kingdom;York
Roxane Bricet; Théorie Économique, Modélisation, Application (THEMA)Université de Cergy-Pontoise; Cergy-Pontoise, France;NA;NA;NA;12;France;Cergy-Pontoise
Michel Baroni; Département d'ÉconomieESSEC Business School; Cergy-Pontoise, France;NA;NA;NA;18;France;Cergy-Pontoise
Laurent Baronian; Centre d'Économie de l'Université Paris-Nord (CEPN)Université Paris-13; Paris, France;NA;NA;NA;2;France;Paris
Jean-Charles Bricongne; Banque de France; Paris, France;NA;NA;NA;36;France;Paris
Mahdi Barouni; Institut de Recherche sur l'Education: Sociologie et Économie de l'Éducation (IREDU)Université de Bourgogne; Dijon, France;NA;NA;NA;7;France;Dijon
Rafael Barquin; Departamento de Economía Aplicada e Historia EconómicaFacultad de Ciencias Económicas y EmpresarialesUniversidad Nacional de Educatión a Distancia; Madrid, Spain;NA;NA;NA;2;Spain;Madrid
Jonathan James Bridges; Bank of England; London, United Kingdom;NA;NA;NA;36;United Kingdom;London
Abigail Margaret Barr;(75%) Centre for Decision Research and Experimental Economics (CeDEx)School of EconomicsUniversity of Nottingham; Nottingham, United Kingdom;8;NA;7;94;United Kingdom;Nottingham
Sarah Bridges; School of EconomicsUniversity of Nottingham; Nottingham, United Kingdom;NA;NA;1;5;United Kingdom;Nottingham
David G Barr; Centre for Central Banking Studies (CCBS)Bank of England; London, United Kingdom;NA;NA;NA;0;United Kingdom;London
Philippe Sr Bich;Paris School of Economics; Paris, France;NA;NA;NA;0;France;Paris
Julimar da Silva Bichara; Departamento de Estructura Económica y Economía del DesarrolloFacultad de Ciencias Económicas y EmpresarialesUniversidad Autónoma de Madrid; Madrid, Spain;NA;NA;NA;2;Spain;Madrid
Alex Barrachina; Laboratori d'Economia Experimental (LEE)Universitat Jaume I; Castellón de la Plana, Spain;NA;NA;NA;14;Spain;Castellón de la Plana
Richard Barras; School of PlanningUniversity College London (UCL); London, United Kingdom;NA;NA;NA;0;United Kingdom;London
Damiano Brigo; Imperial College, Department of Mathematics; United Kingdom, London;NA;NA;NA;55;United Kingdom;London
Christian Bidard; EconomiXUniversité Paris-Nanterre (Paris X); Nanterre, France;NA;NA;NA;19;France;Nanterre
John Barrdear;(75%) Bank of England; London, United Kingdom;NA;NA;NA;13;United Kingdom;London
Rhys Michael Bidder; Cambridge-INETFaculty of EconomicsUniversity of Cambridge; Cambridge, United Kingdom;NA;NA;NA;10;United Kingdom;Cambridge
Ivan Barreda-Tarrazona;(50%) Departament d'EconomiaUniversitat Jaume I; Castellón de la Plana, Spain;NA;1;NA;32;Spain;Castellón de la Plana
Andre Barreira da Silva Rocha; School of BusinessLeicester University; Leicester, United Kingdom;NA;1;NA;18;United Kingdom;Leicester
Jesus Barreiro-Hurle; Joint Research CentreEuropean Commission; Sevilla, Spain;1;14;1;57;Spain;Sevilla
Fernando Barreiro-Pereira;(50%) Departamento de Análisis Econonómico IIFacultad de Ciencias Económicas y EmpresarialesUniversidad Nacional de Educatión a Distancia; Madrid, Spain;1;1;2;13;Spain;Madrid
Marco Antonio Barrenechea Mendez; Departament d'Economia i EmpresaUniversitat Pompeu FabraBarcelona School of Economics (BSE); Barcelona, Spain;NA;NA;NA;0;Spain;Barcelona
Eliana Barrenho;(50%) Business SchoolImperial College; London, United Kingdom;NA;NA;NA;6;United Kingdom;London
Iris Biefang-Frisancho;"Applied Research in Economics Group (AREG)
University of the West of England"; Bristol, United Kingdom;NA;NA;NA;40;United Kingdom;Bristol
Oscar Barrera; Paris School of Economics; Paris, France;NA;NA;NA;3;France;Paris
Simon Briole; Paris School of Economics; Paris, France;NA;NA;NA;31;France;Paris
Sebastien Brion; Centre de Recherche sur le Transport et la LogistiqueFaculté des sciences économiquesUniversité d'Aix-Marseille AMU; Aix-en-Provence, France;NA;NA;NA;3;France;Aix-en-Provence
MARIE-AGNES Barrere-Maurisson; Modélisations Appliquées, Trajectoires Institutionnelles, Stratégies Socio-Économiques (MATISSE)Centre d'Économie de la SorbonneUniversité Paris 1 (Panthéon-Sorbonne); Paris, France;NA;NA;NA;0;France;Paris
Ferri Briquet; Centre Européen de Recherche en Économie Financière et en Gestion des Entreprises (CEREFIGE)Unité de Formation et de Recherche Droit, Sciences Économiques et GestionUniversité de Lorraine; Nancy, France;NA;NA;NA;0;France;Nancy
Nicolas Brisset; Groupe de REcherche en Droit, Économie, Gestion (GREDEG)Institut Supérieur d'Économie et Management (ISEM)Université de Nice-Sophia Antipolis; Nice, France;NA;NA;NA;35;France;Nice
Florian Michael Biermann; Nottingham Business SchoolNottingham Trent University; Nottingham, United Kingdom;NA;NA;NA;0;United Kingdom;Nottingham
Melina Barrio; Departamento de EconomíaFacultad de Ciencias Económicas, Empresariales y TurismoUniversidad de Alcalá de Henares; Alcalá de Henares, Spain;NA;NA;NA;3;Spain;Alcalá de Henares
Enrico Biffis; Business SchoolImperial College; London, United Kingdom;NA;NA;NA;0;United Kingdom;London
Jack Britton;(50%) ESRC Centre for the Microeconomic Analysis of Public Policy (CPP)Institute for Fiscal Studies (IFS); London, United Kingdom;NA;NA;NA;7;United Kingdom;London
Salvador Barrios; Joint Research CentreEuropean Commission; Sevilla, Spain;NA;5;2;201;Spain;Sevilla
Enrique Bigne; Departament de Comercialització i Investigació de MercatsFacultad de EconomíaUniversidad de València; València, Spain;NA;NA;NA;0;Spain;València
Andres Barrios-Fernandez;(47%) Centre for Economic Performance (CEP)London School of Economics (LSE); London, United Kingdom;NA;NA;NA;15;United Kingdom;London
Celine Bignebat; Unité Mixte de Recherche Marchés, Organisations, Institutions et Stratégies d'Acteurs (UMR MOISA)Département ECOSOCIO - Économie et Sciences Sociales pour l'Agriculture, l'Alimentation et l'Environnement (SAE2)Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement (INRAE); Montpellier, France;NA;NA;NA;19;France;Montpellier
Eric Briys; Départment de Finance et ÉconomieHEC Paris (École des Hautes Études Commerciales); Jouy-en-Josas, France;NA;NA;NA;0;France;Jouy-en-Josas
Maria Jose Del Barrio Tellado; Grupo de Investigación en Economia de la Cultura (GIEC)Facultad de ComercioUniversidad de Valladolid; Valladolid, Spain;NA;NA;NA;2;Spain;Valladolid
Vincent Bignon;(99%) Banque de France; Paris, France;NA;NA;NA;103;France;Paris
Stephen Broadberry;(80%) Economics Group, Nuffield CollegeDepartment of EconomicsOxford University; Oxford, United Kingdom;5;NA;7;144;United Kingdom;Oxford
Noe Biheng; Centre de recherche de mathématiques et économie mathématique (CERMSEM)Centre d'Économie de la SorbonneUniversité Paris 1 (Panthéon-Sorbonne); Paris, France;NA;NA;NA;6;France;Paris
Lucy P C. Barros; Economics DepartmentSchool of ManagementSwansea University; Swansea, United Kingdom;NA;NA;NA;8;United Kingdom;Swansea
J Michelle Brock; European Bank for Reconstruction and Development (EBRD); London, United Kingdom;NA;NA;NA;0;United Kingdom;London
Raul Barroso Casado; IESEG School of ManagementUniversité Catholique de Lille; Lille, France;NA;NA;NA;0;France;Lille
Philippe Broda; Novancia Business School; Paris, France;NA;NA;NA;0;France;Paris
Thibault Brodaty; Équipe de Recherche sur l'Utilisation des Données Individuelles en lien avec la Théorie Économique (ERUDITE)Université Paris-Est; Créteil, France;NA;NA;NA;2;France;Créteil
Michael Barrow; Department of EconomicsSussex Business SchoolUniversity of Sussex; Brighton, United Kingdom;NA;NA;NA;0;United Kingdom;Brighton
Thomas Brodaty; Théorie Économique, Modélisation, Application (THEMA)Université de Cergy-Pontoise; Cergy-Pontoise, France;NA;NA;NA;9;France;Cergy-Pontoise
Geoffrey Masters Barrows; Centre de Recherche en Économie et Statistique (CREST); Palaiseau, France;NA;2;NA;16;France;Palaiseau
Jesus Mario Bilbao; Universidad de Sevilla (University of Seville); Spain, Seville;NA;NA;NA;0;Spain;Sevilla
Jose Manuel Barrueco; Facultad de EconomíaUniversidad de València; València, Spain;NA;NA;NA;0;Spain;València
Jose M Barrutia; Departamento de Economía Financiera IIFacultad de Economía y EmpresaUniversidad del País Vasco - Euskal Herriko Unibertsitatea; Bilbao, Spain;NA;NA;NA;4;Spain;Bilbao
Thierno Barry; Laboratoire d'Analyse et de Prospective Économique (LAPE)Faculté de Droit et des Sciences ÉconomiquesUniversité de Limoges; Limoges, France;NA;NA;NA;3;France;Limoges
Toman Barsbai;(90%) School of EconomicsUniversity of Bristol; Bristol, United Kingdom;5;NA;6;67;United Kingdom;Bristol
Stijn Broecke;(99%) Directorate for Employment, Labour and Social Affairs (ELS)Organisation de Coopération et de Développement Économiques (OCDE); Paris, France;NA;NA;NA;6;France;Paris
Pascal Billand; Groupe d'Analyse et de Théorie Économique Lyon St-Étienne (GATE Lyon St-Étienne)Université de Lyon; Lyon, France;NA;NA;NA;82;France;Lyon
Marie-Helene Broihanne; Laboratoire de Recherche en Gestion (LaRGE)Institut de Finance de StrasbourgUniversité de Strasbourg; Strasbourg, France;NA;NA;NA;12;France;Strasbourg
Eva Bartekova;(90%) Environment DirectorateOrganisation de Coopération et de Développement Économiques (OCDE); Paris, France;NA;NA;NA;8;France;Paris
Etienne Billette de Villemeur;(50%) Lille Économie et Management (LEM); Lille, France;NA;17;NA;119;France;Lille
Koen Pieter Robert Bartels; Bangor Business SchoolBangor University; Bangor, United Kingdom;NA;NA;NA;4;United Kingdom;Bangor
Stephen David Billington; Management SchoolQueen's University; Belfast, United Kingdom;NA;NA;NA;11;United Kingdom;Belfast
Fernanda Brollo; Departamento de Fundamentos del Análisis EconómicoFacultad de Ciencias Económicas y EmpresarialesUniversidad de Alicante; Alicante, Spain;NA;NA;1;13;Spain;Alicante
Margarita BillA3n; Departamento de Estructura Económica y Economía del DesarrolloFacultad de Ciencias Económicas y EmpresarialesUniversidad Autónoma de Madrid; Madrid, Spain;NA;NA;NA;4;Spain;Madrid
Steve Billon; Laboratoire de Recherche en Gestion (LaRGE)Institut de Finance de StrasbourgUniversité de Strasbourg; Strasbourg, France;NA;NA;NA;7;France;Strasbourg
Fernando Broner;(90%) Centre de Recerca en Economia Internacional (CREI)Barcelona School of Economics (BSE); Barcelona, Spain;NA;3;2;100;Spain;Barcelona
Antoine Billot; Laboratoire d'Économie Mathématique et Microéconomique Appliquée (LEMMA)Département de Sciences Économiques et de GestionUniversité Panthéon-Assas (Paris II); Paris, France;NA;NA;NA;34;France;Paris
Fabian Barthel; Department of Geography and EnvironmentLondon School of Economics (LSE); London, United Kingdom;NA;NA;NA;0;United Kingdom;London
Fabrice Barthelemy;(50%) Sciences Économiques et SocialesAcadémie de Versailles; Versailles, France;NA;NA;NA;51;France;Versailles
Martijn Reinout Eelco Brons; Joint Research CentreEuropean Commission; Sevilla, Spain;NA;2;NA;13;Spain;Sevilla
Jean Barthelemy; Banque de France; Paris, France;NA;NA;NA;67;France;Paris
Sylvain Barthelemy; TAC; France, Saint Hilaire des Landes;NA;NA;NA;0;France;Saint Hilaire des Landes
